Sample,OD600,Time_s
P21.F9_MC,0.5297,43821.583
P21.F9_MC,0.5231,44754.073
P21.F9_MC,0.5181,45686.536
P21.F9_MC,0.5168,46618.992
P21.F9_MC,0.5132,47551.547
P21.F9_MC,0.5094,48483.921
P21.F9_MC,0.5069,49416.364
P21.F9_MC,0.5066,50348.834
P21.F9_MC,0.5082,51281.358
P21.F9_MC,0.5117,52213.762
P21.F9_MC,0.5228,53146.312
P21.F9_MC,0.5198,54078.693
P21.F9_MC,0.5032,55011.144
P21.F9_MC,0.4994,55943.634
P21.F9_MC,0.4918,56876.186
P21.F9_MC,0.489,57808.624
P21.F9_MC,0.4865,58741.026
P21.F9_MC,0.4858,59673.323
P21.F9_MC,0.4798,60605.752
P21.F9_MC,0.4725,61538.212
P21.F9_MC,0.4742,62470.619
P21.F9_MC,0.4713,63403.101
P21.F9_MC,0.4642,64335.647
P21.F9_MC,0.4619,65268.122
P21.F9_MC,0.459,66200.595
P21.F9_MC,0.4576,67133.085
P21.F9_MC,0.4545,68065.552
P21.F9_MC,0.4527,68998.018
P21.F9_MC,0.4503,69930.555
P21.F9_MC,0.4466,70863.021
P21.F9_MC,0.4434,71795.421
P21.F9_MC,0.4424,72727.925
P21.F9_MC,0.4389,73660.508
P21.F9_MC,0.1229,0
P21.F9_MC,0.1287,927.268
P21.F9_MC,0.1116,1859.687
P21.F9_MC,0.1125,2792.16
P21.F9_MC,0.1188,3724.632
P21.F9_MC,0.1261,4657.102
P21.F9_MC,0.1339,5589.631
P21.F9_MC,0.1406,6522.193
P21.F9_MC,0.1478,7454.487
P21.F9_MC,0.1591,8386.937
P21.F9_MC,0.174,9319.439
P21.F9_MC,0.1905,10251.889
P21.F9_MC,0.2126,11184.439
P21.F9_MC,0.2334,12116.883
P21.F9_MC,0.2527,13049.281
P21.F9_MC,0.2803,13981.655
P21.F9_MC,0.2964,14914.142
P21.F9_MC,0.3092,15846.702
P21.F9_MC,0.3217,16779.28
P21.F9_MC,0.3398,17711.855
P21.F9_MC,0.3591,18644.329
P21.F9_MC,0.3705,19576.844
P21.F9_MC,0.3826,20509.373
P21.F9_MC,0.3975,21441.922
P21.F9_MC,0.4039,22374.504
P21.F9_MC,0.429,23307.015
P21.F9_MC,0.4329,24239.47
P21.F9_MC,0.4544,25171.902
