"","genome_ID","total_n","total_seq_bp","avg_seq_bp","median_seq_bp","N50_bp","min_seq_bp","max_seq_bp"
"178","plate13.C3.pilon.contigs_renamed.fasta",93,5941381,63885.82,323,715367,128,901138
"180","plate13.C6.pilon.contigs_renamed.fasta",55,5841897,106216.31,58317,223647,128,641978
"181","plate13.C7.pilon.contigs_renamed.fasta",60,5897122,98285.37,46968.5,237303,128,821112
"182","plate13.C8.pilon.contigs_renamed.fasta",84,5961273,70967.54,327,623598,128,1560831
"184","plate13.D10.pilon.contigs_renamed.fasta",152,5918834,38939.7,367.5,229784,128,550893
"185","plate13.D11.pilon.contigs_renamed.fasta",1030,6603687,6411.35,343,303681,128,634878
"186","plate13.D12.pilon.contigs_renamed.fasta",124,6160918,49684.82,328,848013,128,1426916
"187","plate13.D1.pilon.contigs_renamed.fasta",107,6006618,56136.62,353,635569,128,875460
"188","plate13.D2.pilon.contigs_renamed.fasta",77,5998202,77898.73,363,690227,128,994280
"189","plate13.D3.pilon.contigs_renamed.fasta",107,5945404,55564.52,309,715367,128,1677335
"191","plate13.D6.pilon.contigs_renamed.fasta",52,5844201,112388.48,421.5,436171,128,645346
"192","plate13.D7.pilon.contigs_renamed.fasta",52,5841707,112340.52,21634,330064,128,719114
"193","plate13.D8.pilon.contigs_renamed.fasta",62,5906325,95263.31,325,686604,128,1071436
"194","plate13.D9.pilon.contigs_renamed.fasta",99,5954177,60143.2,1202,176631,128,683468
"195","plate13.E10.pilon.contigs_renamed.fasta",127,6003186,47269.18,344,1042632,128,1451349
"196","plate13.E11.pilon.contigs_renamed.fasta",361,6097405,16890.32,342,1004625,128,1451349
"197","plate13.E12.pilon.contigs_renamed.fasta",131,5977700,45631.3,328,730710,128,1557483
"198","plate13.E1.pilon.contigs_renamed.fasta",1049,6448421,6147.21,346,296022,128,676165
"199","plate13.E2.pilon.contigs_renamed.fasta",108,6001412,55568.63,344,378001,128,849393
"200","plate13.E3.pilon.contigs_renamed.fasta",162,6012969,37117.09,335,612287,128,1115743
"201","plate13.E4.pilon.contigs_renamed.fasta",620,6164163,9942.2,343,393466,128,722322
"202","plate13.E6.pilon.contigs_renamed.fasta",96,6069701,63226.05,429,259233,128,476071
"203","plate13.E7.pilon.contigs_renamed.fasta",62,6105290,98472.42,1142.5,292764,128,1426915
"204","plate13.E8.pilon.contigs_renamed.fasta",90,5984145,66490.5,338,437564,128,1054396
"205","plate13.E9.pilon.contigs_renamed.fasta",70,5975178,85359.69,439.5,338814,128,1036873
"206","plate13.F10.pilon.contigs_renamed.fasta",137,6005814,43838.06,329,1115743,128,1451350
"207","plate13.F11.pilon.contigs_renamed.fasta",174,6019802,34596.56,330,726359,128,1451348
"208","plate13.F12.pilon.contigs_renamed.fasta",173,5999524,34679.33,325,647773,128,1262872
"209","plate13.F1.pilon.contigs_renamed.fasta",1699,6686219,3935.38,356,251365,128,676165
"210","plate13.F2.pilon.contigs_renamed.fasta",118,6000242,50849.51,327.5,1042838,128,1451348
"211","plate13.F3.pilon.contigs_renamed.fasta",230,5989529,26041.43,332.5,337253,128,538067
"212","plate13.F4.pilon.contigs_renamed.fasta",60,5961140,99352.33,1242.5,404562,128,684833
"213","plate13.F5.pilon.contigs_renamed.fasta",482,6154441,12768.55,343,211489,128,424292
"214","plate13.F6.pilon.contigs_renamed.fasta",359,6169488,17185.2,410,1353430,128,1826449
"215","plate13.F7.pilon.contigs_renamed.fasta",77,6067420,78797.66,606,259173,128,1019912
"216","plate13.F8.pilon.contigs_renamed.fasta",126,5996748,47593.24,347,676962,128,1269709
"217","plate13.F9.pilon.contigs_renamed.fasta",117,6009284,51361.4,357,321749,128,889715
"218","plate13.G10.pilon.contigs_renamed.fasta",912,5640525,6184.79,342,837385,128,1090266
"219","plate13.G1.pilon.contigs_renamed.fasta",101,5893507,58351.55,348,359676,128,653320
"220","plate13.G2.pilon.contigs_renamed.fasta",129,6113739,47393.33,350,494599,128,1270240
"221","plate13.G3.pilon.contigs_renamed.fasta",126,5997429,47598.64,373.5,694391,128,1035618
"222","plate13.G4.pilon.contigs_renamed.fasta",69,5971749,86547.09,3249,409831,128,905944
"223","plate13.G5.pilon.contigs_renamed.fasta",54,5948728,110161.63,371,449329,128,1514769
"226","plate13.G8.pilon.contigs_renamed.fasta",70,6090387,87005.53,337,578414,128,1114030
"227","plate13.H10.pilon.contigs_renamed.fasta",94,6004967,63882.63,341.5,457191,128,875460
"228","plate13.H11.pilon.contigs_renamed.fasta",138,6263435,45387.21,343,249597,128,560834
"229","plate13.H12.pilon.contigs_renamed.fasta",136,6006726,44167.1,324.5,337306,128,656111
"230","plate13.H2.pilon.contigs_renamed.fasta",1160,6732873,5804.2,358,417428,128,932916
"231","plate13.H3.pilon.contigs_renamed.fasta",104,6131687,58958.53,320.5,546332,128,1231636
"232","plate13.H4.pilon.contigs_renamed.fasta",54,5945333,110098.76,20656,354150,128,640079
"233","plate13.H5.pilon.contigs_renamed.fasta",80,5943711,74296.39,36543.5,187140,128,561062
"236","plate13.H9.pilon.contigs_renamed.fasta",327,5422834,16583.59,334,978061,128,1121580
